id,currentBarWidth,splitOnRecType,stimulusTag,currentMeanLevel,currentAbsContrast,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
26,-73.3333333333333,"exc","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-33.8933037851172,0,2,26
27,-73.3333333333333,"inh","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-2.20964180067781,0,2,27
28,-73.3333333333333,"cell-attach","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-0.0463012131896252,0.0463012131896252,2,28
29,-73.3333333333333,"exc","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-47.2034215839165,0,2,29
30,-73.3333333333333,"inh","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-9.42070604570798,0,2,30
31,-73.3333333333333,"cell-attach","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,9.99500249875062,0,2,31
32,-73.3333333333333,"exc","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-156.933063783635,0,2,32
33,-73.3333333333333,"inh","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-32.2821482579151,0,2,33
34,-73.3333333333333,"cell-attach","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,14.9925037481259,0,2,34
35,-73.3333333333333,"exc","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-97.2240165698634,0,2,35
36,-73.3333333333333,"inh","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,14.8996522710995,0,2,36
37,-73.3333333333333,"cell-attach","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,54.9725137431284,0,2,37
38,-73.3333333333333,"exc","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-285.738443645903,0,2,38
39,-73.3333333333333,"inh","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-23.5197282538199,0,2,39
40,-73.3333333333333,"cell-attach","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,39.9800099950025,0,2,40
41,-73.3333333333333,"exc","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-323.893191203078,0,2,41
42,-73.3333333333333,"inh","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-28.0876803936966,0,2,42
43,-73.3333333333333,"cell-attach","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,69.9650174912543,0,2,43
44,-73.3333333333333,"exc","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-532.158027720843,0,2,44
45,-73.3333333333333,"inh","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-10.0714427568356,0,2,45
