id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,currentPatchLocation_1,currentPatchLocation_2,equivalentIntensity,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
53,"exc","695  724","image","2016/08/10","00152",27,"Cell 1- on parasol","keep",695,724,0.302551088303294,0.199407172495471,-414.077422383169,38.4727014044364,1,53
54,"exc","695  724","intensity","2016/08/10","00152",27,"Cell 1- on parasol","keep",695,724,0.302551088303294,0.199407172495471,-558.564583400781,61.7652485592347,1,54
55,"exc","1272   713","image","2016/08/10","00152",28,"Cell 1- on parasol","keep",1272,713,0.202361421182779,0.199407172495471,-103.241808095426,22.4110647134949,1,55
56,"exc","1272   713","intensity","2016/08/10","00152",28,"Cell 1- on parasol","keep",1272,713,0.202361421182779,0.199407172495471,-37.363600247865,19.3936165331057,1,56
57,"exc","1158   497","image","2016/08/10","00152",29,"Cell 1- on parasol","keep",1158,497,0.205030899471401,0.199407172495471,-127.988135423778,26.2581303195871,1,57
58,"exc","1158   497","intensity","2016/08/10","00152",29,"Cell 1- on parasol","keep",1158,497,0.205030899471401,0.199407172495471,-34.496297080108,6.22448613587802,1,58
59,"exc","1254   572","image","2016/08/10","00152",30,"Cell 1- on parasol","keep",1254,572,0.225887742521494,0.199407172495471,-201.996468490834,17.7658863426211,1,59
60,"exc","1254   572","intensity","2016/08/10","00152",30,"Cell 1- on parasol","keep",1254,572,0.225887742521494,0.199407172495471,-79.2865747512608,7.3438964534122,1,60
1,"cell-attach","1241   648","image","2016/08/10","00152",1,"Cell 2 - on parasol","keep",1241,648,0.326865205560159,0.199407172495471,11.6308377243915,12.7293584875127,2,1
2,"exc","1241   648","image","2016/08/10","00152",1,"Cell 2 - on parasol","keep",1241,648,0.326865205560159,0.199407172495471,-568.351462629359,40.1949508341647,2,2
3,"inh","1241   648","image","2016/08/10","00152",1,"Cell 2 - on parasol","keep",1241,648,0.326865205560159,0.199407172495471,662.307364144075,134.002112114746,2,3
4,"cell-attach","1241   648","intensity","2016/08/10","00152",1,"Cell 2 - on parasol","keep",1241,648,0.326865205560159,0.199407172495471,13.1861370339911,12.5039769674305,2,4
5,"exc","1241   648","intensity","2016/08/10","00152",1,"Cell 2 - on parasol","keep",1241,648,0.326865205560159,0.199407172495471,-560.141949817768,41.4289365798564,2,5
6,"inh","1241   648","intensity","2016/08/10","00152",1,"Cell 2 - on parasol","keep",1241,648,0.326865205560159,0.199407172495471,613.873960701411,191.13843796233,2,6
7,"cell-attach","679  707","image","2016/08/10","00152",2,"Cell 2 - on parasol","keep",679,707,0.201769017645987,0.199407172495471,0.636158914266103,3.53090006509392,2,7
8,"exc","679  707","image","2016/08/10","00152",2,"Cell 2 - on parasol","keep",679,707,0.201769017645987,0.199407172495471,-52.7675620354036,17.0305893644922,2,8
9,"inh","679  707","image","2016/08/10","00152",2,"Cell 2 - on parasol","keep",679,707,0.201769017645987,0.199407172495471,1864.58419663147,395.48185167183,2,9
10,"cell-attach","679  707","intensity","2016/08/10","00152",2,"Cell 2 - on parasol","keep",679,707,0.201769017645987,0.199407172495471,-0.81325603058953,1.34392711846663,2,10
11,"exc","679  707","intensity","2016/08/10","00152",2,"Cell 2 - on parasol","keep",679,707,0.201769017645987,0.199407172495471,-14.8038454822524,5.33243324672586,2,11
