id,splitOnRecType,displayMode,splitOnExperimentDate,rotation,celllabel,seed,splitOnDelTag,centerSigma,MeanRespOn,SEM,nodeid,leafid
5,"exc","flash","2016/11/22",45,"Cell2",1,"keep",30,-58.4727008923178,9.66730185652023,3,5
6,"inh","flash","2016/11/22",45,"Cell2",1,"keep",30,-90.18966263899,65.5698115881608,3,6
7,"cell-attach","flash","2016/11/22",90,"Cell2",1,"keep",30,4.83180186207113,5.14820813293128,3,7
8,"exc","flash","2016/11/22",90,"Cell2",1,"keep",30,-53.8199871113423,10.3071051345027,3,8
9,"inh","flash","2016/11/22",90,"Cell2",1,"keep",30,-171.032291520724,97.1733559917864,3,9
10,"cell-attach","flash","2016/11/22",135,"Cell2",1,"keep",30,2.60154170204555,2.37347079170734,3,10
11,"exc","flash","2016/11/22",135,"Cell2",1,"keep",30,-23.4795922570414,10.0537540968752,3,11
12,"inh","flash","2016/11/22",135,"Cell2",1,"keep",30,-274.36224304674,42.8056424708611,3,12
13,"cell-attach","flash","2016/11/22",180,"Cell2",1,"keep",30,5.44558779051901,4.53692095510832,3,13
14,"exc","flash","2016/11/22",180,"Cell2",1,"keep",30,-56.1562142781169,12.1032941337565,3,14
15,"inh","flash","2016/11/22",180,"Cell2",1,"keep",30,-302.975985858326,27.3037566942319,3,15
16,"cell-attach","flash","2016/11/22",225,"Cell2",1,"keep",30,24.3447074293007,23.753498369761,3,16
17,"exc","flash","2016/11/22",225,"Cell2",1,"keep",30,-31.9639058760136,6.41466375412004,3,17
18,"inh","flash","2016/11/22",225,"Cell2",1,"keep",30,33.4533535057525,52.5185088126811,3,18
19,"cell-attach","flash","2016/11/22",270,"Cell2",1,"keep",30,3.41001751969282,3.63077580913296,3,19
20,"exc","flash","2016/11/22",270,"Cell2",1,"keep",30,-41.9249715314373,12.3850649913163,3,20
21,"inh","flash","2016/11/22",270,"Cell2",1,"keep",30,-45.5203590604798,57.0076832207559,3,21
22,"cell-attach","flash","2016/11/22",315,"Cell2",1,"keep",30,-0.232949150996646,0.185029295153698,3,22
23,"exc","flash","2016/11/22",315,"Cell2",1,"keep",30,-32.6368061238066,11.9347026394481,3,23
24,"inh","flash","2016/11/22",315,"Cell2",1,"keep",30,-150.239011855251,180.45776916701,3,24
25,"cell-attach","flash","2016/11/22",0,"Cell2",4,"keep",30,0.0157950868408445,0.0157950868408445,3,25
26,"exc","flash","2016/11/22",0,"Cell2",4,"keep",30,-28.3185771230545,5.84351804997365,3,26
27,"inh","flash","2016/11/22",0,"Cell2",4,"keep",30,-69.9685662786549,35.936207772023,3,27
28,"cell-attach","flash","2016/11/22",45,"Cell2",4,"keep",30,11.3261743130441,11.7720314860178,3,28
29,"exc","flash","2016/11/22",45,"Cell2",4,"keep",30,-32.1448050232856,7.99294475322637,3,29
30,"inh","flash","2016/11/22",45,"Cell2",4,"keep",30,-82.7532238175261,177.45774631906,3,30
31,"cell-attach","flash","2016/11/22",90,"Cell2",4,"keep",30,12.1608713674322,12.8166398769454,3,31
32,"exc","flash","2016/11/22",90,"Cell2",4,"keep",30,-21.3928175525364,13.5988302234887,3,32
33,"inh","flash","2016/11/22",90,"Cell2",4,"keep",30,-181.527375440659,123.481947730779,3,33
34,"cell-attach","flash","2016/11/22",135,"Cell2",4,"keep",30,1.46122206568136,1.95094440010529,3,34
35,"exc","flash","2016/11/22",135,"Cell2",4,"keep",30,-51.5766830428847,17.3212403590971,3,35
36,"inh","flash","2016/11/22",135,"Cell2",4,"keep",30,-48.7736521107276,131.07856821792,3,36
37,"cell-attach","flash","2016/11/22",180,"Cell2",4,"keep",30,13.206125033739,12.6688758979553,3,37
38,"exc","flash","2016/11/22",180,"Cell2",4,"keep",30,-56.0368639239117,15.8835819228454,3,38
39,"inh","flash","2016/11/22",180,"Cell2",4,"keep",30,-157.796488299108,114.445318203537,3,39
40,"cell-attach","flash","2016/11/22",225,"Cell2",4,"keep",30,-0.186487186753496,0.186487186753496,3,40
41,"exc","flash","2016/11/22",225,"Cell2",4,"keep",30,-27.6105341357679,11.3530023649923,3,41
42,"inh","flash","2016/11/22",225,"Cell2",4,"keep",30,10.6368889346703,77.4497406598617,3,42
43,"cell-attach","flash","2016/11/22",270,"Cell2",4,"keep",30,0.79598205734296,0.75535011970574,3,43
44,"exc","flash","2016/11/22",270,"Cell2",4,"keep",30,-42.0976927996059,15.6982913537783,3,44
45,"inh","flash","2016/11/22",270,"Cell2",4,"keep",30,-302.518035907217,70.8695416917849,3,45
46,"cell-attach","flash","2016/11/22",315,"Cell2",4,"keep",30,-2.64746835394125,2.37002290043125,3,46
47,"exc","flash","2016/11/22",315,"Cell2",4,"keep",30,-16.5380817657919,9.30407338278024,3,47
48,"inh","flash","2016/11/22",315,"Cell2",4,"keep",30,-134.800152208649,124.022599376565,3,48
1,"cell-attach","flash","2016/11/29",0,"Cell1",1,"keep",30,0.0774359735553785,0.0995394858536087,4,1
2,"exc","flash","2016/11/29",0,"Cell1",1,"keep",30,-6.22231359051718,1.92569080020154,4,2
3,"inh","flash","2016/11/29",0,"Cell1",1,"keep",30,12.7970912113842,17.3824898316391,4,3
4,"cell-attach","flash","2016/11/29",45,"Cell1",1,"keep",30,0.0352627370871846,0.0951119333660457,4,4
5,"exc","flash","2016/11/29",45,"Cell1",1,"keep",30,-2.63388975401637,1.65283829161499,4,5
6,"inh","flash","2016/11/29",45,"Cell1",1,"keep",30,-18.1419046638979,11.4333657812471,4,6
7,"cell-attach","flash","2016/11/29",90,"Cell1",1,"keep",30,3.7833010900383,3.73747082573253,4,7
8,"exc","flash","2016/11/29",90,"Cell1",1,"keep",30,-5.09403597799056,1.07148726541758,4,8
9,"inh","flash","2016/11/29",90,"Cell1",1,"keep",30,-26.566879785411,5.36033261116859,4,9
10,"cell-attach","flash","2016/11/29",135,"Cell1",1,"keep",30,-0.161097352561908,0.123638339994474,4,10
11,"exc","flash","2016/11/29",135,"Cell1",1,"keep",30,-2.19927179434485,1.24427979824189,4,11
12,"inh","flash","2016/11/29",135,"Cell1",1,"keep",30,-3.42675382230447,9.60567727634962,4,12
13,"cell-attach","flash","2016/11/29",180,"Cell1",1,"keep",30,1.35607309472028,1.21437234325589,4,13
14,"exc","flash","2016/11/29",180,"Cell1",1,"keep",30,-5.70835466147622,1.39202497025543,4,14
15,"inh","flash","2016/11/29",180,"Cell1",1,"keep",30,-3.08531209540488,10.5647191205341,4,15
16,"cell-attach","flash","2016/11/29",225,"Cell1",1,"keep",30,2.43555314463942,2.52313602296099,4,16
17,"exc","flash","2016/11/29",225,"Cell1",1,"keep",30,-5.82175173514742,2.29441648220068,4,17
18,"inh","flash","2016/11/29",225,"Cell1",1,"keep",30,3.94196170359383,11.0459340708608,4,18
19,"cell-attach","flash","2016/11/29",270,"Cell1",1,"keep",30,-1.14642737724372,1.28721189539835,4,19
20,"exc","flash","2016/11/29",270,"Cell1",1,"keep",30,-0.313884299473213,2.18166657623243,4,20
21,"inh","flash","2016/11/29",270,"Cell1",1,"keep",30,27.3601360378203,5.83581146734808,4,21
22,"cell-attach","flash","2016/11/29",315,"Cell1",1,"keep",30,1.27441003203639,1.24062015623672,4,22
23,"exc","flash","2016/11/29",315,"Cell1",1,"keep",30,-4.66566913468339,2.1405004428853,4,23
24,"inh","flash","2016/11/29",315,"Cell1",1,"keep",30,-20.6556276128893,6.09372597793148,4,24
25,"cell-attach","flash","2016/11/29",0,"Cell1",4,"keep",30,2.60116207618014,2.46733249899581,4,25
26,"exc","flash","2016/11/29",0,"Cell1",4,"keep",30,-1.95222281345962,1.05965207621889,4,26
27,"inh","flash","2016/11/29",0,"Cell1",4,"keep",30,16.2906575882959,12.2049294704267,4,27
28,"cell-attach","flash","2016/11/29",45,"Cell1",4,"keep",30,-1.41907256583929,1.1960105147047,4,28
29,"exc","flash","2016/11/29",45,"Cell1",4,"keep",30,-4.63262928047056,1.38191051801638,4,29
30,"inh","flash","2016/11/29",45,"Cell1",4,"keep",30,-18.5479287174042,9.25102952941114,4,30
31,"cell-attach","flash","2016/11/29",90,"Cell1",4,"keep",30,2.41217897983889,2.52853183985597,4,31
32,"exc","flash","2016/11/29",90,"Cell1",4,"keep",30,-4.40633087423671,1.253079990481,4,32
33,"inh","flash","2016/11/29",90,"Cell1",4,"keep",30,-8.93960496191654,7.36820294244601,4,33
34,"cell-attach","flash","2016/11/29",135,"Cell1",4,"keep",30,-1.11939913835156,1.2975671936239,4,34
35,"exc","flash","2016/11/29",135,"Cell1",4,"keep",30,-4.81679139021511,1.22243921707151,4,35
36,"inh","flash","2016/11/29",135,"Cell1",4,"keep",30,-20.3431049509268,18.0242578535661,4,36
37,"cell-attach","flash","2016/11/29",180,"Cell1",4,"keep",30,0.00027374329700967,0.0678359637572988,4,37
38,"exc","flash","2016/11/29",180,"Cell1",4,"keep",30,-3.83672628899933,1.1873375741439,4,38
39,"inh","flash","2016/11/29",180,"Cell1",4,"keep",30,-2.97322767956919,17.3820761982942,4,39
40,"cell-attach","flash","2016/11/29",225,"Cell1",4,"keep",30,-1.28288947513392,1.24249243998886,4,40
41,"exc","flash","2016/11/29",225,"Cell1",4,"keep",30,-3.55341737156335,0.977064714823106,4,41
42,"inh","flash","2016/11/29",225,"Cell1",4,"keep",30,-21.0453747255663,7.93456021477504,4,42
43,"cell-attach","flash","2016/11/29",270,"Cell1",4,"keep",30,2.56475410941354,2.47902844404635,4,43
44,"exc","flash","2016/11/29",270,"Cell1",4,"keep",30,0.0616960999215786,0.992927970953124,4,44
45,"inh","flash","2016/11/29",270,"Cell1",4,"keep",30,7.60696088062789,12.6967280502134,4,45
46,"cell-attach","flash","2016/11/29",315,"Cell1",4,"keep",30,-0.150774391649787,0.104528492694442,4,46
47,"exc","flash","2016/11/29",315,"Cell1",4,"keep",30,-3.51084739482291,1.05785479464785,4,47
48,"inh","flash","2016/11/29",315,"Cell1",4,"keep",30,-14.0866945840196,13.938170126363,4,48
1,"cell-attach","flash","2017/01/12",0,"Cell",1,"keep",30,0.983567341606609,0.394872745099903,5,1
2,"exc","flash","2017/01/12",0,"Cell",1,"keep",30,-63.4568255728025,9.62565894867888,5,2
3,"inh","flash","2017/01/12",0,"Cell",1,"keep",30,-27.6723075504668,12.8987917971147,5,3
4,"cell-attach","flash","2017/01/12",45,"Cell",1,"keep",30,-0.737863223430315,0.674517232813751,5,4
5,"exc","flash","2017/01/12",45,"Cell",1,"keep",30,-55.0941707555047,13.0577406055665,5,5
6,"inh","flash","2017/01/12",45,"Cell",1,"keep",30,-23.6455566727661,8.13367770701974,5,6
7,"cell-attach","flash","2017/01/12",90,"Cell",1,"keep",30,0.199462191859722,0.791111329382022,5,7
8,"exc","flash","2017/01/12",90,"Cell",1,"keep",30,-54.7762972429902,12.989063087389,5,8
9,"inh","flash","2017/01/12",90,"Cell",1,"keep",30,-26.8667514642078,11.8202744652773,5,9
10,"cell-attach","flash","2017/01/12",135,"Cell",1,"keep",30,0.611650306571717,0.555689462437263,5,10
11,"exc","flash","2017/01/12",135,"Cell",1,"keep",30,-38.3678712142677,7.2645144211442,5,11
12,"inh","flash","2017/01/12",135,"Cell",1,"keep",30,-2.73561363069764,7.70603680902598,5,12
13,"cell-attach","flash","2017/01/12",180,"Cell",1,"keep",30,-0.177684645444568,0.286387189025546,5,13
14,"exc","flash","2017/01/12",180,"Cell",1,"keep",30,-46.9099328821519,9.20317788278411,5,14
15,"inh","flash","2017/01/12",180,"Cell",1,"keep",30,-14.2217966574492,11.6333414872498,5,15
16,"cell-attach","flash","2017/01/12",225,"Cell",1,"keep",30,-0.376285327812212,0.38321268640388,5,16
17,"exc","flash","2017/01/12",225,"Cell",1,"keep",30,-36.779222139053,6.85306682696554,5,17
18,"inh","flash","2017/01/12",225,"Cell",1,"keep",30,-40.7920002036008,19.5641264427454,5,18
19,"cell-attach","flash","2017/01/12",270,"Cell",1,"keep",30,0.357400409657243,0.228173233867606,5,19
20,"exc","flash","2017/01/12",270,"Cell",1,"keep",30,-49.1532691890198,10.5430638524106,5,20
21,"inh","flash","2017/01/12",270,"Cell",1,"keep",30,-21.7589624139575,17.3786322750959,5,21
22,"cell-attach","flash","2017/01/12",315,"Cell",1,"keep",30,-0.345691699560694,0.487897503277603,5,22
23,"exc","flash","2017/01/12",315,"Cell",1,"keep",30,-30.4159502746583,9.72580976373991,5,23
24,"inh","flash","2017/01/12",315,"Cell",1,"keep",30,-49.1789321211247,19.4486032550602,5,24
25,"cell-attach","flash","2017/01/12",45,"Cell",1,"keep",60,1.28917853775864,1.28917853775864,5,25
26,"cell-attach","flash","2017/01/12",90,"Cell",1,"keep",60,0,0,5,26
27,"cell-attach","flash","2017/01/12",135,"Cell",1,"keep",60,0,0,5,27
28,"cell-attach","flash","2017/01/12",180,"Cell",1,"keep",60,0,0,5,28
29,"cell-attach","flash","2017/01/12",0,"Cell",4,"keep",30,1.54718608373999,1.24836402213824,5,29
30,"exc","flash","2017/01/12",0,"Cell",4,"keep",30,-26.3299984256212,7.48756372139038,5,30
31,"inh","flash","2017/01/12",0,"Cell",4,"keep",30,-12.9249077580879,10.6794230450118,5,31
32,"cell-attach","flash","2017/01/12",45,"Cell",4,"keep",30,0.708265856942398,0.569114543187752,5,32
33,"exc","flash","2017/01/12",45,"Cell",4,"keep",30,-35.6302612265178,7.84203509272942,5,33
34,"inh","flash","2017/01/12",45,"Cell",4,"keep",30,-20.9755001954662,15.4195991762385,5,34
35,"cell-attach","flash","2017/01/12",90,"Cell",4,"keep",30,-0.828815393841579,0.714849848822637,5,35
36,"exc","flash","2017/01/12",90,"Cell",4,"keep",30,-22.532104877742,8.95176199136636,5,36
37,"inh","flash","2017/01/12",90,"Cell",4,"keep",30,0.563161325605149,16.9287320293602,5,37
38,"cell-attach","flash","2017/01/12",135,"Cell",4,"keep",30,-0.191844352938074,0.189794847595696,5,38
39,"exc","flash","2017/01/12",135,"Cell",4,"keep",30,-47.3554565925821,9.33593040355915,5,39
40,"inh","flash","2017/01/12",135,"Cell",4,"keep",30,-27.7268930574429,28.6856971175614,5,40
41,"cell-attach","flash","2017/01/12",180,"Cell",4,"keep",30,0.455563355627202,0.397257001453579,5,41
42,"exc","flash","2017/01/12",180,"Cell",4,"keep",30,-41.0883917210358,8.79170635656578,5,42
43,"inh","flash","2017/01/12",180,"Cell",4,"keep",30,-20.5191382355654,12.4953196497302,5,43
44,"cell-attach","flash","2017/01/12",225,"Cell",4,"keep",30,-0.537550776290779,0.330324243799863,5,44
45,"exc","flash","2017/01/12",225,"Cell",4,"keep",30,-37.4355706890032,8.37916637800218,5,45
46,"inh","flash","2017/01/12",225,"Cell",4,"keep",30,-0.898196459006248,20.5448035211174,5,46
47,"cell-attach","flash","2017/01/12",270,"Cell",4,"keep",30,-0.109771735171091,0.441678437642227,5,47
48,"exc","flash","2017/01/12",270,"Cell",4,"keep",30,-28.0594110613852,11.6643135912895,5,48
49,"inh","flash","2017/01/12",270,"Cell",4,"keep",30,-30.9615939176932,13.982332670143,5,49
50,"cell-attach","flash","2017/01/12",315,"Cell",4,"keep",30,0.283145883303004,0.126562655414267,5,50
51,"exc","flash","2017/01/12",315,"Cell",4,"keep",30,-53.3327754572318,7.00372063717766,5,51
52,"inh","flash","2017/01/12",315,"Cell",4,"keep",30,-7.07670718066811,19.4074239454968,5,52
1,"cell-attach","flash","2017/02/07",0,"Cell1",1,"keep",30,-0.396271636686666,0.208328646431527,6,1
2,"cell-attach","flash","2017/02/07",45,"Cell1",1,"keep",30,-1.21856872894173,1.2620554110245,6,2
3,"cell-attach","flash","2017/02/07",90,"Cell1",1,"keep",30,-0.611441625755498,0.402457438749819,6,3
4,"cell-attach","flash","2017/02/07",135,"Cell1",1,"keep",30,1.15247732771119,1.29767301561147,6,4
5,"cell-attach","flash","2017/02/07",180,"Cell1",1,"keep",30,0.531134277190079,0.454275215207526,6,5
6,"cell-attach","flash","2017/02/07",225,"Cell1",1,"keep",30,-3.78238825771737,3.73963890606747,6,6
7,"cell-attach","flash","2017/02/07",270,"Cell1",1,"keep",30,-1.04241607101671,1.32360081598163,6,7
8,"cell-attach","flash","2017/02/07",315,"Cell1",1,"keep",30,-1.23830388362,1.25695339497239,6,8
9,"cell-attach","flash","2017/02/07",0,"Cell1",1,"keep",60,0.0848758419987293,0.114347975583572,6,9
10,"cell-attach","flash","2017/02/07",45,"Cell1",1,"keep",60,-1.10400300030639,1.29980797433923,6,10
11,"cell-attach","flash","2017/02/07",90,"Cell1",1,"keep",60,0.0741782856424097,0.0634621100017289,6,11
12,"cell-attach","flash","2017/02/07",135,"Cell1",1,"keep",60,-1.11077474474874,1.2964714710102,6,12
13,"cell-attach","flash","2017/02/07",180,"Cell1",1,"keep",60,0.289492107045302,0.133024081440128,6,13
14,"cell-attach","flash","2017/02/07",225,"Cell1",1,"keep",60,0.159333701272894,0.0723407826584602,6,14
15,"cell-attach","flash","2017/02/07",270,"Cell1",1,"keep",60,-0.0674600801024445,0.069344767299432,6,15
16,"cell-attach","flash","2017/02/07",315,"Cell1",1,"keep",60,-1.27162286290826,1.25208407245541,6,16
17,"cell-attach","flash","2017/02/07",0,"Cell1",4,"keep",30,0.116519809723275,0.0817392029286358,6,17
18,"cell-attach","flash","2017/02/07",45,"Cell1",4,"keep",30,-0.557930805650382,0.422568001858297,6,18
19,"cell-attach","flash","2017/02/07",90,"Cell1",4,"keep",30,1.22190610347346,1.25571559496412,6,19
20,"cell-attach","flash","2017/02/07",135,"Cell1",4,"keep",30,-0.161644590482773,0.0471856087446733,6,20
21,"cell-attach","flash","2017/02/07",180,"Cell1",4,"keep",30,-1.3643804315086,1.24370143140628,6,21
22,"cell-attach","flash","2017/02/07",225,"Cell1",4,"keep",30,-0.848954227604889,0.837764131026997,6,22
23,"cell-attach","flash","2017/02/07",270,"Cell1",4,"keep",30,-0.952155600077201,0.829195637598842,6,23
24,"cell-attach","flash","2017/02/07",315,"Cell1",4,"keep",30,-1.00897727656415,0.822769951132938,6,24
1,"cell-attach","flash","2017/02/07",0,"Cell2",1,"keep",30,0.387540238431677,0.802168714788987,7,1
2,"exc","flash","2017/02/07",0,"Cell2",1,"keep",30,-7.27432863154962,1.00445377172275,7,2
3,"inh","flash","2017/02/07",0,"Cell2",1,"keep",30,-30.1854657550201,18.6668995851758,7,3
4,"cell-attach","flash","2017/02/07",45,"Cell2",1,"keep",30,-0.20629109438139,1.35761586234115,7,4
5,"exc","flash","2017/02/07",45,"Cell2",1,"keep",30,-5.86747775106698,1.48383727731176,7,5
6,"inh","flash","2017/02/07",45,"Cell2",1,"keep",30,-14.8043773821279,26.4642618911032,7,6
7,"cell-attach","flash","2017/02/07",90,"Cell2",1,"keep",30,-0.637837289842281,0.706194699844679,7,7
8,"exc","flash","2017/02/07",90,"Cell2",1,"keep",30,-5.974795251887,1.55829762982857,7,8
9,"inh","flash","2017/02/07",90,"Cell2",1,"keep",30,-52.8977699792682,7.0244496183371,7,9
10,"cell-attach","flash","2017/02/07",135,"Cell2",1,"keep",30,-0.445213679599902,0.409092454469112,7,10
11,"exc","flash","2017/02/07",135,"Cell2",1,"keep",30,-5.1988165363282,0.856868801862726,7,11
12,"inh","flash","2017/02/07",135,"Cell2",1,"keep",30,-56.2413860771526,11.7950808690126,7,12
13,"cell-attach","flash","2017/02/07",180,"Cell2",1,"keep",30,-0.236815031928038,0.246146963184891,7,13
14,"exc","flash","2017/02/07",180,"Cell2",1,"keep",30,-6.35961026952139,1.49636990812111,7,14
15,"inh","flash","2017/02/07",180,"Cell2",1,"keep",30,-60.832605254468,27.2241009419199,7,15
16,"cell-attach","flash","2017/02/07",225,"Cell2",1,"keep",30,-1.61369137673581,1.42195421854778,7,16
17,"exc","flash","2017/02/07",225,"Cell2",1,"keep",30,-5.54574169282142,0.938647862484843,7,17
