id,splitOnRecType,splitOnExperimentDate,rotation,celllabel,seed,splitOnDelTag,centerSigma,background,contrast,MeanRespOn,SEM,nodeid,leafid
4,"cell-attach","2016/11/16",135,"Cell2",1,"keep",30,0.2,0.9,-0.0368359878814767,1.35149245987558,2,4
5,"cell-attach","2016/11/16",180,"Cell2",1,"keep",30,0.2,0.9,2.59240416817265,2.47057642776215,2,5
6,"cell-attach","2016/11/16",225,"Cell2",1,"keep",30,0.2,0.9,2.57249665397281,2.48316981767974,2,6
7,"cell-attach","2016/11/16",270,"Cell2",1,"keep",30,0.2,0.9,-0.287964191642546,0.132428409897271,2,7
8,"cell-attach","2016/11/16",315,"Cell2",1,"keep",30,0.2,0.9,1.09570855758309,1.37397728725389,2,8
9,"cell-attach","2016/11/16",0,"Cell2",4,"keep",40,0.2,0.9,6.1770492271874,6.27036011908356,2,9
10,"cell-attach","2016/11/16",45,"Cell2",4,"keep",40,0.2,0.9,4.72518407678399,3.42340132272568,2,10
11,"cell-attach","2016/11/16",90,"Cell2",4,"keep",40,0.2,0.9,-0.669287952415709,0.871190234018354,2,11
12,"cell-attach","2016/11/16",135,"Cell2",4,"keep",40,0.2,0.9,4.6215712740494,4.76069374667186,2,12
13,"cell-attach","2016/11/16",180,"Cell2",4,"keep",40,0.2,0.9,1.32778628767522,1.27143798114843,2,13
14,"cell-attach","2016/11/16",225,"Cell2",4,"keep",40,0.2,0.9,3.26360530279721,3.93325462404594,2,14
15,"cell-attach","2016/11/16",270,"Cell2",4,"keep",40,0.2,0.9,2.26490961701463,2.592778231648,2,15
16,"cell-attach","2016/11/16",315,"Cell2",4,"keep",40,0.2,0.9,0.0467170432029127,0.297495593609153,2,16
1,"cell-attach","2016/11/22",0,"Cell2",1,"keep",30,0.2,1,-7.74829701135188,7.26419674177156,3,1
2,"exc","2016/11/22",0,"Cell2",1,"keep",30,0.2,1,-50.2008470760222,10.5823184753855,3,2
3,"inh","2016/11/22",0,"Cell2",1,"keep",30,0.2,1,-202.549598852436,97.2498365075854,3,3
4,"cell-attach","2016/11/22",45,"Cell2",1,"keep",30,0.2,1,3.5776247314793,3.55567136557036,3,4
5,"exc","2016/11/22",45,"Cell2",1,"keep",30,0.2,1,-58.4727008923178,9.66730185652023,3,5
6,"inh","2016/11/22",45,"Cell2",1,"keep",30,0.2,1,-90.18966263899,65.5698115881608,3,6
7,"cell-attach","2016/11/22",90,"Cell2",1,"keep",30,0.2,1,4.83180186207113,5.14820813293128,3,7
8,"exc","2016/11/22",90,"Cell2",1,"keep",30,0.2,1,-53.8199871113423,10.3071051345027,3,8
9,"inh","2016/11/22",90,"Cell2",1,"keep",30,0.2,1,-171.032291520724,97.1733559917864,3,9
10,"cell-attach","2016/11/22",135,"Cell2",1,"keep",30,0.2,1,2.60154170204555,2.37347079170734,3,10
11,"exc","2016/11/22",135,"Cell2",1,"keep",30,0.2,1,-23.4795922570414,10.0537540968752,3,11
12,"inh","2016/11/22",135,"Cell2",1,"keep",30,0.2,1,-274.36224304674,42.8056424708611,3,12
13,"cell-attach","2016/11/22",180,"Cell2",1,"keep",30,0.2,1,5.44558779051901,4.53692095510832,3,13
14,"exc","2016/11/22",180,"Cell2",1,"keep",30,0.2,1,-56.1562142781169,12.1032941337565,3,14
15,"inh","2016/11/22",180,"Cell2",1,"keep",30,0.2,1,-302.975985858326,27.3037566942319,3,15
16,"cell-attach","2016/11/22",225,"Cell2",1,"keep",30,0.2,1,24.3447074293007,23.753498369761,3,16
17,"exc","2016/11/22",225,"Cell2",1,"keep",30,0.2,1,-31.9639058760136,6.41466375412004,3,17
18,"inh","2016/11/22",225,"Cell2",1,"keep",30,0.2,1,33.4533535057525,52.5185088126811,3,18
19,"cell-attach","2016/11/22",270,"Cell2",1,"keep",30,0.2,1,3.41001751969282,3.63077580913296,3,19
20,"exc","2016/11/22",270,"Cell2",1,"keep",30,0.2,1,-41.9249715314373,12.3850649913163,3,20
21,"inh","2016/11/22",270,"Cell2",1,"keep",30,0.2,1,-45.5203590604798,57.0076832207559,3,21
22,"cell-attach","2016/11/22",315,"Cell2",1,"keep",30,0.2,1,-0.232949150996646,0.185029295153698,3,22
23,"exc","2016/11/22",315,"Cell2",1,"keep",30,0.2,1,-32.6368061238066,11.9347026394481,3,23
24,"inh","2016/11/22",315,"Cell2",1,"keep",30,0.2,1,-150.239011855251,180.45776916701,3,24
25,"cell-attach","2016/11/22",0,"Cell2",4,"keep",30,0.2,1,0.0157950868408445,0.0157950868408445,3,25
26,"exc","2016/11/22",0,"Cell2",4,"keep",30,0.2,1,-28.3185771230545,5.84351804997365,3,26
27,"inh","2016/11/22",0,"Cell2",4,"keep",30,0.2,1,-69.9685662786549,35.936207772023,3,27
28,"cell-attach","2016/11/22",45,"Cell2",4,"keep",30,0.2,1,11.3261743130441,11.7720314860178,3,28
29,"exc","2016/11/22",45,"Cell2",4,"keep",30,0.2,1,-32.1448050232856,7.99294475322637,3,29
30,"inh","2016/11/22",45,"Cell2",4,"keep",30,0.2,1,-82.7532238175261,177.45774631906,3,30
31,"cell-attach","2016/11/22",90,"Cell2",4,"keep",30,0.2,1,12.1608713674322,12.8166398769454,3,31
32,"exc","2016/11/22",90,"Cell2",4,"keep",30,0.2,1,-21.3928175525364,13.5988302234887,3,32
33,"inh","2016/11/22",90,"Cell2",4,"keep",30,0.2,1,-181.527375440659,123.481947730779,3,33
34,"cell-attach","2016/11/22",135,"Cell2",4,"keep",30,0.2,1,1.46122206568136,1.95094440010529,3,34
35,"exc","2016/11/22",135,"Cell2",4,"keep",30,0.2,1,-51.5766830428847,17.3212403590971,3,35
36,"inh","2016/11/22",135,"Cell2",4,"keep",30,0.2,1,-48.7736521107276,131.07856821792,3,36
37,"cell-attach","2016/11/22",180,"Cell2",4,"keep",30,0.2,1,13.206125033739,12.6688758979553,3,37
38,"exc","2016/11/22",180,"Cell2",4,"keep",30,0.2,1,-56.0368639239117,15.8835819228454,3,38
39,"inh","2016/11/22",180,"Cell2",4,"keep",30,0.2,1,-157.796488299108,114.445318203537,3,39
40,"cell-attach","2016/11/22",225,"Cell2",4,"keep",30,0.2,1,-0.186487186753496,0.186487186753496,3,40
41,"exc","2016/11/22",225,"Cell2",4,"keep",30,0.2,1,-27.6105341357679,11.3530023649923,3,41
42,"inh","2016/11/22",225,"Cell2",4,"keep",30,0.2,1,10.6368889346703,77.4497406598617,3,42
43,"cell-attach","2016/11/22",270,"Cell2",4,"keep",30,0.2,1,0.79598205734296,0.75535011970574,3,43
44,"exc","2016/11/22",270,"Cell2",4,"keep",30,0.2,1,-42.0976927996059,15.6982913537783,3,44
45,"inh","2016/11/22",270,"Cell2",4,"keep",30,0.2,1,-302.518035907217,70.8695416917849,3,45
46,"cell-attach","2016/11/22",315,"Cell2",4,"keep",30,0.2,1,-2.64746835394125,2.37002290043125,3,46
47,"exc","2016/11/22",315,"Cell2",4,"keep",30,0.2,1,-16.5380817657919,9.30407338278024,3,47
48,"inh","2016/11/22",315,"Cell2",4,"keep",30,0.2,1,-134.800152208649,124.022599376565,3,48
1,"cell-attach","2016/11/29",0,"Cell1",1,"keep",30,0.2,1,0.0774359735553785,0.0995394858536087,4,1
2,"exc","2016/11/29",0,"Cell1",1,"keep",30,0.2,1,-6.22231359051718,1.92569080020154,4,2
3,"inh","2016/11/29",0,"Cell1",1,"keep",30,0.2,1,12.7970912113842,17.3824898316391,4,3
4,"cell-attach","2016/11/29",45,"Cell1",1,"keep",30,0.2,1,0.0352627370871846,0.0951119333660457,4,4
5,"exc","2016/11/29",45,"Cell1",1,"keep",30,0.2,1,-2.63388975401637,1.65283829161499,4,5
6,"inh","2016/11/29",45,"Cell1",1,"keep",30,0.2,1,-18.1419046638979,11.4333657812471,4,6
7,"cell-attach","2016/11/29",90,"Cell1",1,"keep",30,0.2,1,3.7833010900383,3.73747082573253,4,7
8,"exc","2016/11/29",90,"Cell1",1,"keep",30,0.2,1,-5.09403597799056,1.07148726541758,4,8
9,"inh","2016/11/29",90,"Cell1",1,"keep",30,0.2,1,-26.566879785411,5.36033261116859,4,9
10,"cell-attach","2016/11/29",135,"Cell1",1,"keep",30,0.2,1,-0.161097352561908,0.123638339994474,4,10
11,"exc","2016/11/29",135,"Cell1",1,"keep",30,0.2,1,-2.19927179434485,1.24427979824189,4,11
12,"inh","2016/11/29",135,"Cell1",1,"keep",30,0.2,1,-3.42675382230447,9.60567727634962,4,12
13,"cell-attach","2016/11/29",180,"Cell1",1,"keep",30,0.2,1,1.35607309472028,1.21437234325589,4,13
14,"exc","2016/11/29",180,"Cell1",1,"keep",30,0.2,1,-5.70835466147622,1.39202497025543,4,14
15,"inh","2016/11/29",180,"Cell1",1,"keep",30,0.2,1,-3.08531209540488,10.5647191205341,4,15
16,"cell-attach","2016/11/29",225,"Cell1",1,"keep",30,0.2,1,2.43555314463942,2.52313602296099,4,16
17,"exc","2016/11/29",225,"Cell1",1,"keep",30,0.2,1,-5.82175173514742,2.29441648220068,4,17
18,"inh","2016/11/29",225,"Cell1",1,"keep",30,0.2,1,3.94196170359383,11.0459340708608,4,18
19,"cell-attach","2016/11/29",270,"Cell1",1,"keep",30,0.2,1,-1.14642737724372,1.28721189539835,4,19
20,"exc","2016/11/29",270,"Cell1",1,"keep",30,0.2,1,-0.313884299473213,2.18166657623243,4,20
21,"inh","2016/11/29",270,"Cell1",1,"keep",30,0.2,1,27.3601360378203,5.83581146734808,4,21
22,"cell-attach","2016/11/29",315,"Cell1",1,"keep",30,0.2,1,1.27441003203639,1.24062015623672,4,22
23,"exc","2016/11/29",315,"Cell1",1,"keep",30,0.2,1,-4.66566913468339,2.1405004428853,4,23
24,"inh","2016/11/29",315,"Cell1",1,"keep",30,0.2,1,-20.6556276128893,6.09372597793148,4,24
25,"cell-attach","2016/11/29",0,"Cell1",4,"keep",30,0.2,1,2.60116207618014,2.46733249899581,4,25
26,"exc","2016/11/29",0,"Cell1",4,"keep",30,0.2,1,-1.95222281345962,1.05965207621889,4,26
27,"inh","2016/11/29",0,"Cell1",4,"keep",30,0.2,1,16.2906575882959,12.2049294704267,4,27
28,"cell-attach","2016/11/29",45,"Cell1",4,"keep",30,0.2,1,-1.41907256583929,1.1960105147047,4,28
29,"exc","2016/11/29",45,"Cell1",4,"keep",30,0.2,1,-4.63262928047056,1.38191051801638,4,29
30,"inh","2016/11/29",45,"Cell1",4,"keep",30,0.2,1,-18.5479287174042,9.25102952941114,4,30
31,"cell-attach","2016/11/29",90,"Cell1",4,"keep",30,0.2,1,2.41217897983889,2.52853183985597,4,31
32,"exc","2016/11/29",90,"Cell1",4,"keep",30,0.2,1,-4.40633087423671,1.253079990481,4,32
33,"inh","2016/11/29",90,"Cell1",4,"keep",30,0.2,1,-8.93960496191654,7.36820294244601,4,33
34,"cell-attach","2016/11/29",135,"Cell1",4,"keep",30,0.2,1,-1.11939913835156,1.2975671936239,4,34
35,"exc","2016/11/29",135,"Cell1",4,"keep",30,0.2,1,-4.81679139021511,1.22243921707151,4,35
36,"inh","2016/11/29",135,"Cell1",4,"keep",30,0.2,1,-20.3431049509268,18.0242578535661,4,36
37,"cell-attach","2016/11/29",180,"Cell1",4,"keep",30,0.2,1,0.00027374329700967,0.0678359637572988,4,37
38,"exc","2016/11/29",180,"Cell1",4,"keep",30,0.2,1,-3.83672628899933,1.1873375741439,4,38
39,"inh","2016/11/29",180,"Cell1",4,"keep",30,0.2,1,-2.97322767956919,17.3820761982942,4,39
40,"cell-attach","2016/11/29",225,"Cell1",4,"keep",30,0.2,1,-1.28288947513392,1.24249243998886,4,40
41,"exc","2016/11/29",225,"Cell1",4,"keep",30,0.2,1,-3.55341737156335,0.977064714823106,4,41
42,"inh","2016/11/29",225,"Cell1",4,"keep",30,0.2,1,-21.0453747255663,7.93456021477504,4,42
43,"cell-attach","2016/11/29",270,"Cell1",4,"keep",30,0.2,1,2.56475410941354,2.47902844404635,4,43
44,"exc","2016/11/29",270,"Cell1",4,"keep",30,0.2,1,0.0616960999215786,0.992927970953124,4,44
45,"inh","2016/11/29",270,"Cell1",4,"keep",30,0.2,1,7.60696088062789,12.6967280502134,4,45
46,"cell-attach","2016/11/29",315,"Cell1",4,"keep",30,0.2,1,-0.150774391649787,0.104528492694442,4,46
47,"exc","2016/11/29",315,"Cell1",4,"keep",30,0.2,1,-3.51084739482291,1.05785479464785,4,47
48,"inh","2016/11/29",315,"Cell1",4,"keep",30,0.2,1,-14.0866945840196,13.938170126363,4,48
1,"cell-attach","2017/01/12",0,"Cell",1,"keep",30,0.2,1,0.983567341606609,0.394872745099903,5,1
2,"exc","2017/01/12",0,"Cell",1,"keep",30,0.2,1,-63.4568255728025,9.62565894867888,5,2
3,"inh","2017/01/12",0,"Cell",1,"keep",30,0.2,1,-27.6723075504668,12.8987917971147,5,3
4,"cell-attach","2017/01/12",45,"Cell",1,"keep",30,0.2,1,-0.737863223430315,0.674517232813751,5,4
5,"exc","2017/01/12",45,"Cell",1,"keep",30,0.2,1,-55.0941707555047,13.0577406055665,5,5
6,"inh","2017/01/12",45,"Cell",1,"keep",30,0.2,1,-23.6455566727661,8.13367770701974,5,6
7,"cell-attach","2017/01/12",90,"Cell",1,"keep",30,0.2,1,0.199462191859722,0.791111329382022,5,7
8,"exc","2017/01/12",90,"Cell",1,"keep",30,0.2,1,-54.7762972429902,12.989063087389,5,8
9,"inh","2017/01/12",90,"Cell",1,"keep",30,0.2,1,-26.8667514642078,11.8202744652773,5,9
