,imageName,Loc_x,Loc_y,cell_id,patchId,spike_NLI,exc_NLI
86,152,695,724,2016/09/13On parasol2,152-695-724,-0.164033042636,-0.0943929590915
87,152,1272,713,2016/09/13On parasol2,152-1272-713,1.0,0.746523231287
88,152,1158,497,2016/09/13On parasol2,152-1158-497,0.234100114025,0.667933705647
89,152,1254,572,2016/09/13On parasol2,152-1254-572,-0.818333286538,0.44802913382
90,152,1241,648,2016/09/13On parasol3,152-1241-648,-0.118489947694,0.0416003323356
91,152,679,707,2016/09/13On parasol3,152-679-707,-1.0,1.0
92,152,1287,606,2016/09/13On parasol3,152-1287-606,0.311324900012,0.184439377578
93,152,533,572,2016/09/13On parasol3,152-533-572,-0.198904453796,0.434197273901
94,152,690,764,2016/09/13On parasol3,152-690-764,-0.732014073427,-0.895295742977
95,152,1286,635,2016/09/13On parasol3,152-1286-635,0.181697611986,0.122383300805
96,152,1153,358,2016/09/13On parasol3,152-1153-358,0.14032700733,0.296699486165
97,152,1149,340,2016/09/13On parasol3,152-1149-340,0.0252291365664,-0.144972514596
98,152,1289,789,2016/09/13On parasol3,152-1289-789,-0.259669352073,0.232866188077
99,152,672,738,2016/09/13On parasol3,152-672-738,1.0,-0.144667628069
100,152,357,359,2016/09/13On parasol3,152-357-359,0.527457573004,0.368807513493
101,152,453,350,2016/09/13On parasol3,152-453-350,-0.751039597449,-0.36797739827
102,152,1259,598,2016/09/13On parasol3,152-1259-598,-1.0,-0.0295675500441
103,152,1209,261,2016/09/13On parasol3,152-1209-261,0.384657616201,0.18640815748
104,152,1215,597,2016/09/13On parasol3,152-1215-597,0.608045456804,1.0
105,152,785,180,2016/09/13On parasol3,152-785-180,-0.863104426749,-1.0
106,152,1285,697,2016/09/13On parasol3,152-1285-697,-0.139728843727,-0.0353696036573
107,152,1157,301,2016/09/13On parasol3,152-1157-301,1.0,0.255869635874
108,152,1303,683,2016/09/13On parasol3,152-1303-683,0.18837757298,0.00313865974722
109,152,1161,631,2016/09/13On parasol3,152-1161-631,1.0,-0.415631842371
110,152,1114,294,2016/09/13On parasol3,152-1114-294,0.488271926657,0.0211412272904
111,152,708,741,2016/09/13On parasol3,152-708-741,0.623699758418,0.194184763314
112,152,1208,520,2016/09/13On parasol3,152-1208-520,0.593148504846,0.494456503434
113,152,252,337,2016/09/13On parasol3,152-252-337,-1.0,0.239761425263
114,152,1187,597,2016/09/13On parasol3,152-1187-597,1.0,1.0
115,152,377,669,2016/09/13On parasol3,152-377-669,0.766811243325,-1.0
116,152,695,724,2016/09/13On parasol3,152-695-724,0.0607828781551,-0.0298095298067
117,152,1272,713,2016/09/13On parasol3,152-1272-713,1.0,1.0
118,152,1158,497,2016/09/13On parasol3,152-1158-497,-0.482637580211,0.590217854028
119,152,1254,572,2016/09/13On parasol3,152-1254-572,0.893673678803,0.469062191971
120,152,1241,648,2016/10/11Cell4,152-1241-648,0.0514332548763,0.0246107436939
121,152,679,707,2016/10/11Cell4,152-679-707,0.303288824419,0.623038620657
122,152,1287,606,2016/10/11Cell4,152-1287-606,-0.160546163479,-0.0127780832644
123,152,533,572,2016/10/11Cell4,152-533-572,-1.0,0.339409169795
124,152,690,764,2016/10/11Cell4,152-690-764,-0.60097598274,0.0901768290735
125,152,1286,635,2016/10/11Cell4,152-1286-635,0.271815475959,-0.00644999103381
126,152,1153,358,2016/10/11Cell4,152-1153-358,1.0,0.429795281668
127,152,1149,340,2016/10/11Cell4,152-1149-340,0.0949996178706,0.0453187264563
128,152,1289,789,2016/10/11Cell4,152-1289-789,-0.212888302891,0.0396164825393
129,152,672,738,2016/10/11Cell4,152-672-738,-0.297995608648,0.186573008914
130,152,357,359,2016/10/11Cell4,152-357-359,0.105779572601,0.120899999065
131,152,453,350,2016/10/11Cell4,152-453-350,1.0,-0.125929281536
132,152,1259,598,2016/10/11Cell4,152-1259-598,0.0754991017191,0.12951452434
133,152,1209,261,2016/10/11Cell4,152-1209-261,-0.12276059896,0.00747256297978
134,152,1215,597,2016/10/11Cell4,152-1215-597,0.890962029054,1.0
135,152,785,180,2016/10/11Cell4,152-785-180,1.0,0.102194643318
136,152,1285,697,2016/10/11Cell4,152-1285-697,0.114807750685,0.0228540646952
137,152,1157,301,2016/10/11Cell4,152-1157-301,0.131879666387,-0.10742004296
138,152,1303,683,2016/10/11Cell4,152-1303-683,-0.0346521788348,0.00106457951927
139,152,1161,631,2016/10/11Cell4,152-1161-631,0.04536087374,0.0220294059792
140,152,1114,294,2016/10/11Cell4,152-1114-294,0.137479626555,0.0944729704605
141,152,708,741,2016/10/11Cell4,152-708-741,0.0150811495888,-0.10993596307
142,152,1208,520,2016/10/11Cell4,152-1208-520,0.353186114434,0.0468785047059
143,152,252,337,2016/10/11Cell4,152-252-337,0.32927202444,0.0248782736801
