id,splitOnRecType,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,MeanRespOn,SEM,nodeid,leafid
103,"cell-attach","intensity","2016/08/10","00152",26,"Cell 2 - on parasol","keep",-3.48414394909422,2.02220329671769,1,103
104,"exc","intensity","2016/08/10","00152",26,"Cell 2 - on parasol","keep",-44.8764402607363,5.92288607535567,1,104
105,"cell-attach","image","2016/08/10","00152",27,"Cell 2 - on parasol","keep",10.1712362946273,10.0332057382417,1,105
106,"exc","image","2016/08/10","00152",27,"Cell 2 - on parasol","keep",-339.480446727995,35.5758077396904,1,106
107,"cell-attach","intensity","2016/08/10","00152",27,"Cell 2 - on parasol","keep",8.20486283035501,7.41560507379932,1,107
108,"exc","intensity","2016/08/10","00152",27,"Cell 2 - on parasol","keep",-417.675266213154,50.6831270568865,1,108
109,"cell-attach","image","2016/08/10","00152",28,"Cell 2 - on parasol","keep",3.61083339152401,1.68707872897545,1,109
110,"exc","image","2016/08/10","00152",28,"Cell 2 - on parasol","keep",-34.6918360474795,23.7949154104174,1,110
111,"cell-attach","intensity","2016/08/10","00152",28,"Cell 2 - on parasol","keep",0.892138011104711,1.00767298930982,1,111
112,"exc","intensity","2016/08/10","00152",28,"Cell 2 - on parasol","keep",-3.71253193677308,6.23349879675128,1,112
113,"cell-attach","image","2016/08/10","00152",29,"Cell 2 - on parasol","keep",2.4530071139527,1.32148310691775,1,113
114,"exc","image","2016/08/10","00152",29,"Cell 2 - on parasol","keep",-51.4551447930679,28.0452136615139,1,114
115,"cell-attach","intensity","2016/08/10","00152",29,"Cell 2 - on parasol","keep",2.46950160632934,1.65732372311447,1,115
116,"exc","intensity","2016/08/10","00152",29,"Cell 2 - on parasol","keep",1.24834270063929,5.01158539081085,1,116
117,"cell-attach","image","2016/08/10","00152",30,"Cell 2 - on parasol","keep",4.10667295405206,4.18814063571662,1,117
118,"exc","image","2016/08/10","00152",30,"Cell 2 - on parasol","keep",-114.128738242694,15.5300418013039,1,118
119,"cell-attach","intensity","2016/08/10","00152",30,"Cell 2 - on parasol","keep",1.67708356539591,2.70979953500673,1,119
120,"exc","intensity","2016/08/10","00152",30,"Cell 2 - on parasol","keep",-54.6627746141649,13.4490575747888,1,120
1,"cell-attach","image","2016/09/13","00152",1,"On parasol1","keep",5.55188947645153,5.74587101338268,2,1
2,"exc","image","2016/09/13","00152",1,"On parasol1","keep",-110.724200615741,13.7358646996823,2,2
3,"cell-attach","intensity","2016/09/13","00152",1,"On parasol1","keep",7.09298772496463,6.92800894407039,2,3
4,"exc","intensity","2016/09/13","00152",1,"On parasol1","keep",-136.069747989385,18.1587608382597,2,4
5,"cell-attach","image","2016/09/13","00152",2,"On parasol1","keep",-0.474393936796613,1.16414920598662,2,5
6,"exc","image","2016/09/13","00152",2,"On parasol1","keep",-18.0505129899308,11.5233095629477,2,6
7,"cell-attach","intensity","2016/09/13","00152",2,"On parasol1","keep",1.85622808954684,2.04489222828628,2,7
8,"exc","intensity","2016/09/13","00152",2,"On parasol1","keep",-2.89202244294287,1.63794051014101,2,8
9,"cell-attach","image","2016/09/13","00152",3,"On parasol1","keep",2.25168128293565,3.25588528059512,2,9
10,"exc","image","2016/09/13","00152",3,"On parasol1","keep",-44.1577150557336,5.08526322796505,2,10
11,"cell-attach","intensity","2016/09/13","00152",3,"On parasol1","keep",2.42600359894621,1.89254075368752,2,11
12,"exc","intensity","2016/09/13","00152",3,"On parasol1","keep",-28.0822740433652,4.2604766008666,2,12
13,"cell-attach","image","2016/09/13","00152",4,"On parasol1","keep",0.362371718173987,0.129637162488627,2,13
14,"exc","image","2016/09/13","00152",4,"On parasol1","keep",-12.6205121168372,6.29616441252405,2,14
15,"cell-attach","intensity","2016/09/13","00152",4,"On parasol1","keep",-0.0229732173433278,0.167112599011433,2,15
16,"exc","intensity","2016/09/13","00152",4,"On parasol1","keep",-5.46582028432277,1.6786568458894,2,16
17,"cell-attach","image","2016/09/13","00152",5,"On parasol1","keep",-3.01459494523441,2.9995757384525,2,17
18,"exc","image","2016/09/13","00152",5,"On parasol1","keep",-8.41422047137663,2.490835593035,2,18
19,"cell-attach","intensity","2016/09/13","00152",5,"On parasol1","keep",-1.14355684696876,0.980614450708456,2,19
20,"exc","intensity","2016/09/13","00152",5,"On parasol1","keep",-12.7244797616934,1.65353523170826,2,20
21,"cell-attach","image","2016/09/13","00152",6,"On parasol1","keep",11.4560360284721,10.8841602412082,2,21
22,"exc","image","2016/09/13","00152",6,"On parasol1","keep",-146.206503064149,16.5755921081246,2,22
23,"cell-attach","intensity","2016/09/13","00152",6,"On parasol1","keep",7.03525645232771,6.98890249490371,2,23
24,"exc","intensity","2016/09/13","00152",6,"On parasol1","keep",-123.270269009685,14.7131840596977,2,24
25,"cell-attach","image","2016/09/13","00152",7,"On parasol1","keep",-0.838279125376712,1.05252481379796,2,25
26,"exc","image","2016/09/13","00152",7,"On parasol1","keep",-25.4075657279101,6.22923665367436,2,26
27,"cell-attach","intensity","2016/09/13","00152",7,"On parasol1","keep",-0.156642758875553,0.151746269714385,2,27
28,"exc","intensity","2016/09/13","00152",7,"On parasol1","keep",0.367078829377541,3.3966385982611,2,28
29,"cell-attach","image","2016/09/13","00152",8,"On parasol1","keep",2.60068960161787,2.46398255292143,2,29
30,"exc","image","2016/09/13","00152",8,"On parasol1","keep",-37.1458826603353,8.13891600002719,2,30
31,"cell-attach","intensity","2016/09/13","00152",8,"On parasol1","keep",0.218178698763718,0.551190223114112,2,31
32,"exc","intensity","2016/09/13","00152",8,"On parasol1","keep",-20.0934645751652,4.27507462351753,2,32
33,"cell-attach","image","2016/09/13","00152",9,"On parasol1","keep",3.79826069042158,4.04799249137572,2,33
34,"exc","image","2016/09/13","00152",9,"On parasol1","keep",-44.3772161727624,5.64528799858915,2,34
35,"cell-attach","intensity","2016/09/13","00152",9,"On parasol1","keep",4.2344724805261,3.94250357155373,2,35
36,"exc","intensity","2016/09/13","00152",9,"On parasol1","keep",-42.8237207439512,4.77330150081869,2,36
37,"cell-attach","image","2016/09/13","00152",10,"On parasol1","keep",-0.648067341011099,1.09799917751367,2,37
38,"exc","image","2016/09/13","00152",10,"On parasol1","keep",-19.9335721370615,5.75982095709992,2,38
39,"cell-attach","intensity","2016/09/13","00152",10,"On parasol1","keep",0.306661941975377,0.212070176370263,2,39
40,"exc","intensity","2016/09/13","00152",10,"On parasol1","keep",-9.35015678606496,3.39222188111079,2,40
41,"cell-attach","image","2016/09/13","00152",11,"On parasol1","keep",2.1950777978944,1.95853228516214,2,41
42,"exc","image","2016/09/13","00152",11,"On parasol1","keep",-31.3865833466154,4.2488818530082,2,42
43,"cell-attach","intensity","2016/09/13","00152",11,"On parasol1","keep",0.11648203231319,0.170137902778337,2,43
44,"exc","intensity","2016/09/13","00152",11,"On parasol1","keep",-33.6896363523271,3.42822741354741,2,44
45,"cell-attach","image","2016/09/13","00152",12,"On parasol1","keep",0.140738079190028,0.0969223507963211,2,45
46,"exc","image","2016/09/13","00152",12,"On parasol1","keep",-7.06150114439793,3.40794605985296,2,46
47,"cell-attach","intensity","2016/09/13","00152",12,"On parasol1","keep",1.86467384498357,1.15442906763489,2,47
48,"exc","intensity","2016/09/13","00152",12,"On parasol1","keep",-2.81028056484902,2.66997611993366,2,48
49,"cell-attach","image","2016/09/13","00152",13,"On parasol1","keep",4.00697573539292,3.99948767784009,2,49
50,"exc","image","2016/09/13","00152",13,"On parasol1","keep",-62.1677610022557,8.53295650035354,2,50
51,"cell-attach","intensity","2016/09/13","00152",13,"On parasol1","keep",3.56006687602774,2.95307976764207,2,51
52,"exc","intensity","2016/09/13","00152",13,"On parasol1","keep",-30.9934761277626,1.93357371780617,2,52
53,"cell-attach","image","2016/09/13","00152",14,"On parasol1","keep",3.85155894440954,4.04839249122283,2,53
54,"exc","image","2016/09/13","00152",14,"On parasol1","keep",-81.6237228163271,12.0864964784076,2,54
55,"cell-attach","intensity","2016/09/13","00152",14,"On parasol1","keep",7.81597519348272,8.04141074593284,2,55
