,splitOnRecType_x,currentSpotContrast,MeanExc,SEM_Exc,cell_id,splitOnRecType_y,MeanInh,SEM_Inh
92,exc,0.75,-351.031709181,59.4807038168,2016/10/25Cell1,inh,-143.782473159,13.3851627772
93,exc,0.9,-422.801257008,63.8649208471,2016/10/25Cell1,inh,-160.750806237,8.8441325442
94,exc,1.2,-523.567509677,74.8329319675,2016/10/25Cell1,inh,-182.647012529,9.33754915675
95,exc,1.8,-683.611065281,82.3634687222,2016/10/25Cell1,inh,-211.121608165,10.9930097311
96,exc,-0.9,-43.7532850936,40.9721203768,2016/10/25Cell2,inh,1360.47915173,119.062236623
97,exc,-0.75,-20.3653312198,32.2813134886,2016/10/25Cell2,inh,1192.42797773,144.987535969
98,exc,-0.5,-12.690526745,34.0026829357,2016/10/25Cell2,inh,932.411426238,77.0125413262
99,exc,-0.25,17.314971913,17.5809656003,2016/10/25Cell2,inh,414.688280319,20.4976654327
100,exc,-0.125,16.8152940218,4.64598769529,2016/10/25Cell2,inh,124.815140897,22.0196395838
101,exc,0.125,-17.3913873781,3.63451625159,2016/10/25Cell2,inh,-43.7197892309,9.46129214615
102,exc,0.25,-56.0748203371,7.89242538526,2016/10/25Cell2,inh,-80.7528583094,15.2822075596
103,exc,0.5,-143.929096792,15.0527389358,2016/10/25Cell2,inh,-121.920487204,25.7748481476
104,exc,0.75,-215.980327766,24.5352324336,2016/10/25Cell2,inh,-127.160859138,30.9880155655
105,exc,0.9,-275.603858798,33.0873698727,2016/10/25Cell2,inh,-134.886888404,15.7036707853
106,exc,1.2,-399.678527724,40.668068725,2016/10/25Cell2,inh,-157.50807657,42.6650420752
107,exc,1.8,-670.322837199,64.3615922088,2016/10/25Cell2,inh,-155.007811764,55.2289675104
108,exc,2.5,-917.99183787,77.1921595788,2016/10/25Cell2,inh,-147.283162448,32.3346694179
109,exc,-0.9,424.965695133,74.2183380001,2016/11/16Cell1,inh,2329.7005197,526.305184398
110,exc,-0.75,454.608759074,79.7043936372,2016/11/16Cell1,inh,2080.0534461,434.39640326
111,exc,-0.5,360.380684387,66.5025332663,2016/11/16Cell1,inh,1739.23039027,377.452127205
112,exc,-0.25,186.195005072,29.0043137548,2016/11/16Cell1,inh,851.340675031,209.987921427
113,exc,-0.125,57.3993416756,10.892674898,2016/11/16Cell1,inh,263.749700803,72.4240016857
114,exc,0.125,-58.2203964036,12.7589844409,2016/11/16Cell1,inh,-67.2268398376,35.1147952823
115,exc,0.25,-88.6990277581,12.792843675,2016/11/16Cell1,inh,19.2994790879,47.1060124352
116,exc,0.5,-195.480203896,28.2716581646,2016/11/16Cell1,inh,257.247826494,162.483645809
117,exc,0.75,-275.891647157,28.4502451787,2016/11/16Cell1,inh,217.999745702,68.8328280155
118,exc,0.9,-340.817754472,39.3926075502,2016/11/16Cell1,inh,367.333463189,110.09065405
119,exc,-0.9,229.883038273,11.3257550032,2016/11/22Cell2,inh,1626.3038235,402.918725106
120,exc,-0.75,228.714144775,12.2021278865,2016/11/22Cell2,inh,1444.71174582,366.714646971
121,exc,-0.5,172.237301002,5.24918019408,2016/11/22Cell2,inh,1069.13107741,228.201120975
122,exc,-0.25,75.1287764518,9.9947664942,2016/11/22Cell2,inh,317.381547104,112.818375748
123,exc,-0.125,41.7934586727,5.38174330602,2016/11/22Cell2,inh,137.959874586,75.4629413503
124,exc,0.125,-28.5226567347,12.1948937019,2016/11/22Cell2,inh,-74.5652141307,46.1133511783
125,exc,0.25,-70.9818191186,13.295462255,2016/11/22Cell2,inh,-52.751519319,10.9194066764
126,exc,0.5,-137.733495304,21.4223940459,2016/11/22Cell2,inh,-122.798721167,43.2134913517
127,exc,0.75,-215.302582737,20.6424650069,2016/11/22Cell2,inh,-88.1459340196,60.5326647041
128,exc,0.9,-260.692890723,23.1773934144,2016/11/22Cell2,inh,-134.213233773,89.3952799864
129,exc,1.5,-431.152375693,29.2488443229,2016/11/22Cell2,inh,73.5498124084,61.2037339105
130,exc,2.0,-586.785366537,40.2928478922,2016/11/22Cell2,inh,72.6577392848,43.4151241319
131,exc,-0.9,297.005034974,7.16029518381,2016/11/29Cell1,inh,1791.50257395,112.008242671
132,exc,-0.75,271.222323877,12.2343881523,2016/11/29Cell1,inh,1572.7101274,35.6514835388
133,exc,-0.5,230.020638417,10.7006395242,2016/11/29Cell1,inh,1273.64945789,2.81831081308
134,exc,-0.25,115.555100363,13.029957034,2016/11/29Cell1,inh,231.966110375,81.1536155472
135,exc,-0.125,47.663956902,11.1387607614,2016/11/29Cell1,inh,8.05163017021,38.2171010823
136,exc,0.125,-35.7597731866,16.4521636363,2016/11/29Cell1,inh,2.9438211264,10.6015351744
137,exc,0.25,-74.2381851368,13.7040367711,2016/11/29Cell1,inh,4.99014208616,11.4258419575
138,exc,0.5,-174.851377028,17.6600006388,2016/11/29Cell1,inh,-68.0291860739,10.2730621193
139,exc,0.75,-308.719620235,32.415884789,2016/11/29Cell1,inh,36.4978729097,51.7295626788
140,exc,0.9,-363.897185395,32.8818249338,2016/11/29Cell1,inh,-13.3441530238,9.3125235884
141,exc,1.5,-542.121248499,42.0403310133,2016/11/29Cell1,inh,75.7170299754,9.53859618101
142,exc,2.0,-630.11282891,34.0232084001,2016/11/29Cell1,inh,54.8146913838,4.27129818539
143,exc,-0.9,187.435997063,6.78914844054,2016/12/02Cell2,inh,1057.80016391,25.9946941748
144,exc,-0.75,178.271966473,7.27892625792,2016/12/02Cell2,inh,909.542447986,23.0546908949
145,exc,-0.5,136.16958163,10.4700769882,2016/12/02Cell2,inh,531.208663903,41.6404909018
146,exc,-0.25,60.9242036724,6.64010832879,2016/12/02Cell2,inh,186.851040308,8.48604822506
147,exc,-0.125,37.1572198174,5.87285146983,2016/12/02Cell2,inh,58.3586082447,18.0772471682
148,exc,0.125,-49.9837659135,4.58581464619,2016/12/02Cell2,inh,-48.4479120759,14.1092773313
149,exc,0.25,-106.175374077,3.83074447461,2016/12/02Cell2,inh,-50.1101940242,2.47620246391
150,exc,0.5,-243.453123327,8.4824551784,2016/12/02Cell2,inh,2.67368625667,22.5197621986
151,exc,0.75,-351.006136545,21.9265280979,2016/12/02Cell2,inh,54.6263091144,7.57293876367
152,exc,0.9,-397.276340832,13.6508508899,2016/12/02Cell2,inh,51.5651062237,7.72489403199
153,exc,1.5,-581.860185604,13.103639592,2016/12/02Cell2,inh,134.546091789,24.3151206307
154,exc,2.0,-644.771067023,17.523985436,2016/12/02Cell2,inh,159.322818936,7.04656253548
