id,currentBarWidth,splitOnRecType,stimulusTag,currentAbsContrast,currentMeanLevel,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,rfSigmaCenter,MeanRespOn,SEM,nodeid,leafid
30,-20,"inh","intensity",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,-26.0204072134314,0,2,30
31,20,"cell-attach","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-0.370905893173825,0.368407142549137,2,31
32,20,"exc","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-29.7275343930128,0,2,32
33,20,"inh","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-28.6877936914268,0,2,33
34,20,"cell-attach","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,1.22780891131963,3.76969233805568,2,34
35,20,"exc","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-37.346845142374,0,2,35
36,20,"inh","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-6.89196402935872,0,2,36
37,20,"cell-attach","grating",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,0,0,2,37
38,20,"exc","grating",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,-23.5152225606409,0,2,38
39,20,"inh","grating",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,-67.8434768476707,0,2,39
40,20,"cell-attach","intensity",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,0,0,2,40
41,20,"exc","intensity",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,-6.50987941652716,0,2,41
42,20,"inh","intensity",0.175,0.25,"2017/01/12","Cell","keep",0.2,58,-7.65092840761045,0,2,42
43,46.6666666666667,"cell-attach","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,0.645416106139024,0.645416106139024,2,43
44,46.6666666666667,"exc","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-41.7518543302973,0,2,44
45,46.6666666666667,"inh","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,20.1272177240308,0,2,45
46,46.6666666666667,"cell-attach","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,2.42339902584599,2.57160347290463,2,46
47,46.6666666666667,"exc","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-61.3143168504613,0,2,47
48,46.6666666666667,"inh","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-117.388012527998,0,2,48
49,73.3333333333333,"cell-attach","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,2.62266093076296,2.37234156798767,2,49
50,73.3333333333333,"exc","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-44.8274015597713,0,2,50
51,73.3333333333333,"inh","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-79.023251818379,0,2,51
52,73.3333333333333,"cell-attach","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,0.342297390859628,0.344796141484316,2,52
53,73.3333333333333,"exc","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-7.69407538932688,0,2,53
54,73.3333333333333,"inh","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-25.984028830702,0,2,54
55,100,"cell-attach","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,0,0,2,55
56,100,"exc","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-32.7649000903072,0,2,56
57,100,"inh","grating",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,40.379390820138,0,2,57
58,100,"cell-attach","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,0,0,2,58
59,100,"exc","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-46.3645429840567,0,2,59
60,100,"inh","intensity",0.1,0.25,"2017/01/12","Cell","keep",0.2,58,-9.93170623521674,0,2,60
61,-100,"cell-attach","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,14.9925037481259,0,2,61
62,-100,"exc","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-140.395885811307,0,2,62
63,-100,"inh","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-55.4328287616085,0,2,63
64,-100,"cell-attach","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,19.9900049975013,0,2,64
65,-100,"exc","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-61.0036807762306,0,2,65
66,-100,"inh","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-19.9825461378394,0,2,66
67,-73.3333333333333,"cell-attach","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,9.99500249875062,0,2,67
68,-73.3333333333333,"exc","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-156.933063783635,0,2,68
69,-73.3333333333333,"inh","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-32.2821482579151,0,2,69
70,-73.3333333333333,"cell-attach","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,14.9925037481259,0,2,70
71,-73.3333333333333,"exc","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-97.2240165698634,0,2,71
72,-73.3333333333333,"inh","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,14.8996522710995,0,2,72
73,-46.6666666666667,"cell-attach","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,10.292430212971,9.69757478453029,2,73
74,-46.6666666666667,"exc","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-147.938246953661,0,2,74
75,-46.6666666666667,"inh","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-4.36229634782366,0,2,75
76,-46.6666666666667,"cell-attach","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-2.7380510040175,2.26444774660718,2,76
77,-46.6666666666667,"exc","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-176.297963292072,0,2,77
78,-46.6666666666667,"inh","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,1.2208382766768,0,2,78
79,-20,"cell-attach","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,7.68771948789831,7.30478426022763,2,79
80,-20,"exc","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-123.93070796611,0,2,80
81,-20,"inh","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-27.17645351756,0,2,81
82,-20,"cell-attach","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,4.35066924733528,5.64183450079066,2,82
83,-20,"exc","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-95.8102996360573,0,2,83
84,-20,"inh","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,5.29407248129528,0,2,84
85,-20,"cell-attach","grating",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,4.99750124937531,0,2,85
86,-20,"exc","grating",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,-104.271884946088,0,2,86
87,-20,"inh","grating",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,0.366756525235765,0,2,87
88,-20,"cell-attach","intensity",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,9.99500249875062,0,2,88
89,-20,"exc","intensity",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,-71.8488708255615,0,2,89
90,-20,"inh","intensity",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,-11.6359426061343,0,2,90
91,20,"cell-attach","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,11.9450523264317,13.0399551698204,2,91
92,20,"exc","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-118.264775296878,0,2,92
93,20,"inh","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-20.7828916537644,0,2,93
94,20,"cell-attach","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,5.75035107432313,4.24465142442749,2,94
95,20,"exc","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-146.946702225006,0,2,95
96,20,"inh","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-93.4471916367459,0,2,96
97,20,"cell-attach","grating",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,14.9925037481259,0,2,97
98,20,"exc","grating",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,-74.9237425669635,0,2,98
99,20,"inh","grating",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,-15.883315501817,0,2,99
100,20,"cell-attach","intensity",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,4.99750124937531,0,2,100
101,20,"exc","intensity",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,-63.325918954658,0,2,101
102,20,"inh","intensity",0.2,0.3,"2017/01/12","Cell","keep",0.2,58,-4.31452845004991,0,2,102
103,46.6666666666667,"cell-attach","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,0.404991935731422,0.40749068635611,2,103
104,46.6666666666667,"exc","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-138.778827461089,0,2,104
105,46.6666666666667,"inh","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-15.6336063813877,0,2,105
106,46.6666666666667,"cell-attach","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,0.0622458760599411,0.0647446266846289,2,106
107,46.6666666666667,"exc","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-93.7783700556592,0,2,107
108,46.6666666666667,"inh","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-138.465057134417,0,2,108
109,73.3333333333333,"cell-attach","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,0.901249512951586,4.09625173642373,2,109
110,73.3333333333333,"exc","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-150.122878502608,0,2,110
111,73.3333333333333,"inh","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-30.3894547392389,0,2,111
112,73.3333333333333,"cell-attach","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,4.83969180256727,10.1528119455587,2,112
113,73.3333333333333,"exc","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-66.6294990314412,0,2,113
114,73.3333333333333,"inh","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-70.538148684049,0,2,114
115,100,"cell-attach","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,14.9925037481259,0,2,115
116,100,"exc","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-74.7312421670725,0,2,116
117,100,"inh","grating",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-38.8628501680173,0,2,117
