id,splitOnRecType,splitOnExperimentDate,celllabel,currentSpotContrast,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
4,"inh","2016/09/13","On parasol3",-0.75,"keep",0.2,4654.14975277194,263.227342514445,5,4
5,"exc","2016/09/13","On parasol3",-0.5,"keep",0.2,164.748009703336,16.7943772212548,5,5
6,"inh","2016/09/13","On parasol3",-0.5,"keep",0.2,3600.85141212549,70.4035401760438,5,6
7,"exc","2016/09/13","On parasol3",-0.25,"keep",0.2,118.539036837073,14.5754119298799,5,7
8,"inh","2016/09/13","On parasol3",-0.25,"keep",0.2,2039.88072205254,148.043529951046,5,8
9,"exc","2016/09/13","On parasol3",-0.125,"keep",0.2,41.3151366636583,6.6303325712165,5,9
10,"inh","2016/09/13","On parasol3",-0.125,"keep",0.2,342.916670830528,131.890695956741,5,10
11,"exc","2016/09/13","On parasol3",0.125,"keep",0.2,-80.5930620273855,13.818055311265,5,11
12,"inh","2016/09/13","On parasol3",0.125,"keep",0.2,-139.269415202914,59.7067237265149,5,12
13,"exc","2016/09/13","On parasol3",0.25,"keep",0.2,-165.914718864194,21.6803880490207,5,13
14,"inh","2016/09/13","On parasol3",0.25,"keep",0.2,-131.248309453002,52.4477881957032,5,14
15,"exc","2016/09/13","On parasol3",0.5,"keep",0.2,-352.490315762713,32.9613097806295,5,15
16,"inh","2016/09/13","On parasol3",0.5,"keep",0.2,187.889701542462,60.0789544949751,5,16
17,"exc","2016/09/13","On parasol3",0.75,"keep",0.2,-545.723347800824,27.9251191124536,5,17
18,"inh","2016/09/13","On parasol3",0.75,"keep",0.2,405.535661506727,8.83998423181469,5,18
19,"exc","2016/09/13","On parasol3",0.9,"keep",0.2,-628.956389113888,35.5037358701503,5,19
20,"inh","2016/09/13","On parasol3",0.9,"keep",0.2,530.244490610768,44.9366944175624,5,20
21,"exc","2016/09/13","On parasol3",1.2,"keep",0.2,-738.391369639713,29.4976614224704,5,21
22,"inh","2016/09/13","On parasol3",1.2,"keep",0.2,675.861522165702,15.5175115865633,5,22
23,"exc","2016/09/13","On parasol3",1.5,"keep",0.2,-822.050913321054,39.3695977487368,5,23
24,"inh","2016/09/13","On parasol3",1.5,"keep",0.2,772.6026368371,13.0318464103243,5,24
1,"exc","2016/10/11","Cell1",-0.9,"keep",0.2,177.620169147449,38.1205007308746,6,1
2,"exc","2016/10/11","Cell1",-0.75,"keep",0.2,155.395670336886,35.57641927773,6,2
3,"exc","2016/10/11","Cell1",-0.5,"keep",0.2,110.458070610124,21.5124339700317,6,3
4,"exc","2016/10/11","Cell1",-0.25,"keep",0.2,51.9439096899908,5.11184173028766,6,4
5,"exc","2016/10/11","Cell1",-0.125,"keep",0.2,25.604131609796,2.90083750675672,6,5
